pattern, counts
vegetables-hand soap,425
lunch meat-hand soap,221
aluminum foil-hand soap,220
cheeses-hand soap,216
ice cream-hand soap,219
soda-hand soap,225
eggs-hand soap,219
juice-hand soap,218
yogurt-hand soap,205
pasta-hand soap,225
laundry detergent-hand soap,214
tortillas-hand soap,215
fruits-hand soap,213
beef-hand soap,217
paper towels-hand soap,207
spaghetti sauce-hand soap,219
sandwich loaves-hand soap,217
sandwich bags-hand soap,211
pork-hand soap,207
ketchup-hand soap,212
cereals-hand soap,215
bagels-hand soap,213
milk-hand soap,227
toilet paper-hand soap,216
coffee/tea-hand soap,214
soap-hand soap,210
all- purpose-hand soap,217
sugar-hand soap,225
flour-hand soap,217
dinner rolls-hand soap,228
shampoo-hand soap,215
mixes-hand soap,231
individual meals-hand soap,211
butter-hand soap,214
waffles-hand soap,228
dishwashing liquid/detergent-hand soap,219
poultry-hand soap,235
vegetables-poultry-hand soap,171
vegetables-ketchup,442
lunch meat-ketchup,211
aluminum foil-ketchup,228
ice cream-ketchup,234
soda-ketchup,229
dinner rolls-ketchup,232
yogurt-ketchup,219
pasta-ketchup,226
soap-ketchup,232
tortillas-ketchup,218
sugar-ketchup,211
paper towels-ketchup,218
spaghetti sauce-ketchup,227
bagels-ketchup,233
eggs-ketchup,230
toilet paper-ketchup,230
all- purpose-ketchup,232
laundry detergent-ketchup,232
individual meals-ketchup,207
fruits-ketchup,218
sandwich loaves-ketchup,223
pork-ketchup,225
cheeses-ketchup,230
beef-ketchup,223
juice-ketchup,237
sandwich bags-ketchup,227
cereals-ketchup,223
milk-ketchup,219
coffee/tea-ketchup,238
flour-ketchup,224
shampoo-ketchup,218
mixes-ketchup,246
butter-ketchup,212
waffles-ketchup,235
dishwashing liquid/detergent-ketchup,231
poultry-ketchup,238
vegetables-poultry-ketchup,174
vegetables-pork,436
lunch meat-pork,233
aluminum foil-pork,235
ice cream-pork,208
soda-pork,229
dinner rolls-pork,214
mixes-pork,238
yogurt-pork,225
soap-pork,228
all- purpose-pork,234
laundry detergent-pork,212
butter-pork,210
beef-pork,227
sandwich bags-pork,223
shampoo-pork,211
bagels-pork,229
eggs-pork,230
toilet paper-pork,215
individual meals-pork,214
fruits-pork,202
sandwich loaves-pork,210
cheeses-pork,226
juice-pork,241
pasta-pork,209
tortillas-pork,223
paper towels-pork,219
spaghetti sauce-pork,214
cereals-pork,222
milk-pork,227
coffee/tea-pork,230
sugar-pork,212
waffles-pork,236
dishwashing liquid/detergent-pork,235
poultry-pork,241
vegetables-poultry-pork,168
vegetables-flour,441
lunch meat-flour,229
aluminum foil-flour,237
ice cream-flour,219
soda-flour,244
dinner rolls-flour,229
mixes-flour,228
yogurt-flour,235
soap-flour,233
all- purpose-flour,225
laundry detergent-flour,223
butter-flour,203
beef-flour,216
sandwich bags-flour,206
shampoo-flour,212
cheeses-flour,239
cereals-flour,215
bagels-flour,212
eggs-flour,224
milk-flour,227
toilet paper-flour,223
coffee/tea-flour,225
pasta-flour,219
fruits-flour,210
sugar-flour,226
sandwich loaves-flour,219
individual meals-flour,219
tortillas-flour,212
paper towels-flour,216
spaghetti sauce-flour,209
juice-flour,213
waffles-flour,223
dishwashing liquid/detergent-flour,242
poultry-flour,239
vegetables-poultry-flour,182
vegetables-shampoo,444
lunch meat-shampoo,239
aluminum foil-shampoo,235
ice cream-shampoo,218
soda-shampoo,236
dinner rolls-shampoo,256
mixes-shampoo,232
yogurt-shampoo,229
soap-shampoo,226
all- purpose-shampoo,226
laundry detergent-shampoo,228
butter-shampoo,222
beef-shampoo,234
sandwich bags-shampoo,215
cheeses-shampoo,229
cereals-shampoo,233
bagels-shampoo,242
eggs-shampoo,223
milk-shampoo,225
juice-shampoo,253
pasta-shampoo,224
tortillas-shampoo,203
fruits-shampoo,217
spaghetti sauce-shampoo,214
coffee/tea-shampoo,229
paper towels-shampoo,229
sandwich loaves-shampoo,234
individual meals-shampoo,227
toilet paper-shampoo,231
sugar-shampoo,228
waffles-shampoo,228
dishwashing liquid/detergent-shampoo,222
poultry-shampoo,246
vegetables-poultry-shampoo,189
vegetables-sandwich bags,452
lunch meat-sandwich bags,235
aluminum foil-sandwich bags,237
ice cream-sandwich bags,231
soda-sandwich bags,239
dinner rolls-sandwich bags,219
mixes-sandwich bags,236
yogurt-sandwich bags,230
soap-sandwich bags,238
all- purpose-sandwich bags,218
laundry detergent-sandwich bags,236
butter-sandwich bags,232
beef-sandwich bags,231
cheeses-sandwich bags,262
eggs-sandwich bags,216
juice-sandwich bags,214
pasta-sandwich bags,226
tortillas-sandwich bags,229
fruits-sandwich bags,220
paper towels-sandwich bags,226
spaghetti sauce-sandwich bags,220
sandwich loaves-sandwich bags,218
cereals-sandwich bags,230
bagels-sandwich bags,232
milk-sandwich bags,243
coffee/tea-sandwich bags,224
toilet paper-sandwich bags,222
sugar-sandwich bags,209
individual meals-sandwich bags,212
waffles-sandwich bags,237
dishwashing liquid/detergent-sandwich bags,233
poultry-sandwich bags,252
vegetables-poultry-sandwich bags,191
vegetables-sandwich loaves,452
lunch meat-sandwich loaves,237
aluminum foil-sandwich loaves,234
ice cream-sandwich loaves,237
bagels-sandwich loaves,234
eggs-sandwich loaves,212
toilet paper-sandwich loaves,226
all- purpose-sandwich loaves,236
laundry detergent-sandwich loaves,212
individual meals-sandwich loaves,236
fruits-sandwich loaves,221
cheeses-sandwich loaves,240
soda-sandwich loaves,233
dinner rolls-sandwich loaves,227
yogurt-sandwich loaves,230
soap-sandwich loaves,243
beef-sandwich loaves,219
sugar-sandwich loaves,215
paper towels-sandwich loaves,227
juice-sandwich loaves,233
pasta-sandwich loaves,219
tortillas-sandwich loaves,208
spaghetti sauce-sandwich loaves,231
cereals-sandwich loaves,227
milk-sandwich loaves,216
coffee/tea-sandwich loaves,236
butter-sandwich loaves,227
mixes-sandwich loaves,238
waffles-sandwich loaves,234
dishwashing liquid/detergent-sandwich loaves,213
poultry-sandwich loaves,243
vegetables-poultry-sandwich loaves,195
vegetables-spaghetti sauce,463
lunch meat-spaghetti sauce,246
aluminum foil-spaghetti sauce,235
ice cream-spaghetti sauce,231
soda-spaghetti sauce,253
dinner rolls-spaghetti sauce,247
yogurt-spaghetti sauce,228
pasta-spaghetti sauce,245
soap-spaghetti sauce,232
tortillas-spaghetti sauce,229
sugar-spaghetti sauce,223
paper towels-spaghetti sauce,233
juice-spaghetti sauce,250
all- purpose-spaghetti sauce,236
laundry detergent-spaghetti sauce,243
individual meals-spaghetti sauce,235
fruits-spaghetti sauce,235
cheeses-spaghetti sauce,260
eggs-spaghetti sauce,244
beef-spaghetti sauce,244
cereals-spaghetti sauce,240
bagels-spaghetti sauce,253
milk-spaghetti sauce,237
toilet paper-spaghetti sauce,230
coffee/tea-spaghetti sauce,215
butter-spaghetti sauce,223
mixes-spaghetti sauce,248
waffles-spaghetti sauce,239
dishwashing liquid/detergent-spaghetti sauce,230
poultry-spaghetti sauce,260
vegetables-poultry-spaghetti sauce,206
vegetables-paper towels,455
lunch meat-paper towels,251
aluminum foil-paper towels,235
ice cream-paper towels,250
soda-paper towels,239
dinner rolls-paper towels,231
yogurt-paper towels,224
pasta-paper towels,251
soap-paper towels,233
tortillas-paper towels,216
sugar-paper towels,229
cheeses-paper towels,232
eggs-paper towels,248
individual meals-paper towels,234
beef-paper towels,234
juice-paper towels,236
laundry detergent-paper towels,223
fruits-paper towels,227
cereals-paper towels,236
milk-paper towels,242
toilet paper-paper towels,237
bagels-paper towels,237
all- purpose-paper towels,238
coffee/tea-paper towels,235
butter-paper towels,226
mixes-paper towels,243
waffles-paper towels,239
dishwashing liquid/detergent-paper towels,247
poultry-paper towels,233
vegetables-poultry-paper towels,190
vegetables-beef,446
lunch meat-beef,234
aluminum foil-beef,249
ice cream-beef,241
soda-beef,239
dinner rolls-beef,236
mixes-beef,229
yogurt-beef,241
soap-beef,233
all- purpose-beef,221
laundry detergent-beef,212
butter-beef,201
cheeses-beef,231
eggs-beef,240
individual meals-beef,228
juice-beef,229
pasta-beef,219
tortillas-beef,212
fruits-beef,240
cereals-beef,247
coffee/tea-beef,232
bagels-beef,236
milk-beef,238
toilet paper-beef,235
waffles-beef,238
dishwashing liquid/detergent-beef,240
poultry-beef,264
vegetables-poultry-beef,199
vegetables-sugar,465
lunch meat-sugar,248
aluminum foil-sugar,223
ice cream-sugar,243
soda-sugar,248
dinner rolls-sugar,249
yogurt-sugar,238
pasta-sugar,239
soap-sugar,236
tortillas-sugar,230
juice-sugar,223
all- purpose-sugar,233
laundry detergent-sugar,231
individual meals-sugar,236
fruits-sugar,226
cheeses-sugar,238
eggs-sugar,232
cereals-sugar,245
bagels-sugar,231
milk-sugar,222
toilet paper-sugar,237
coffee/tea-sugar,223
butter-sugar,227
mixes-sugar,215
waffles-sugar,251
dishwashing liquid/detergent-sugar,239
poultry-sugar,268
vegetables-poultry-sugar,212
vegetables-fruits,457
lunch meat-fruits,246
aluminum foil-fruits,244
ice cream-fruits,244
juice-fruits,212
pasta-fruits,230
all- purpose-fruits,235
laundry detergent-fruits,230
individual meals-fruits,229
bagels-fruits,255
eggs-fruits,231
toilet paper-fruits,221
cheeses-fruits,243
soda-fruits,234
yogurt-fruits,237
tortillas-fruits,217
cereals-fruits,236
milk-fruits,222
coffee/tea-fruits,222
soap-fruits,226
butter-fruits,216
dinner rolls-fruits,223
mixes-fruits,230
waffles-fruits,252
dishwashing liquid/detergent-fruits,257
poultry-fruits,246
vegetables-poultry-fruits,183
vegetables-tortillas,443
lunch meat-tortillas,241
aluminum foil-tortillas,229
ice cream-tortillas,221
soda-tortillas,227
dinner rolls-tortillas,235
yogurt-tortillas,219
pasta-tortillas,227
soap-tortillas,220
cheeses-tortillas,219
eggs-tortillas,239
juice-tortillas,217
laundry detergent-tortillas,215
cereals-tortillas,230
bagels-tortillas,240
milk-tortillas,233
all- purpose-tortillas,220
coffee/tea-tortillas,229
toilet paper-tortillas,235
mixes-tortillas,245
individual meals-tortillas,227
butter-tortillas,228
waffles-tortillas,232
dishwashing liquid/detergent-tortillas,232
poultry-tortillas,245
vegetables-poultry-tortillas,187
vegetables-butter,454
lunch meat-butter,242
aluminum foil-butter,236
ice cream-butter,233
soda-butter,243
dinner rolls-butter,243
mixes-butter,238
yogurt-butter,223
soap-butter,229
all- purpose-butter,229
laundry detergent-butter,244
cheeses-butter,253
eggs-butter,236
individual meals-butter,238
milk-butter,217
coffee/tea-butter,221
juice-butter,228
bagels-butter,236
toilet paper-butter,248
cereals-butter,234
pasta-butter,233
waffles-butter,233
dishwashing liquid/detergent-butter,238
poultry-butter,250
vegetables-poultry-butter,188
vegetables-individual meals,461
lunch meat-individual meals,256
aluminum foil-individual meals,248
ice cream-individual meals,241
juice-individual meals,226
pasta-individual meals,229
all- purpose-individual meals,223
laundry detergent-individual meals,233
bagels-individual meals,245
eggs-individual meals,239
toilet paper-individual meals,229
cheeses-individual meals,245
soda-individual meals,245
dinner rolls-individual meals,222
yogurt-individual meals,236
soap-individual meals,243
cereals-individual meals,234
coffee/tea-individual meals,234
mixes-individual meals,223
milk-individual meals,222
waffles-individual meals,240
dishwashing liquid/detergent-individual meals,255
poultry-individual meals,254
vegetables-poultry-individual meals,191
vegetables-all- purpose,458
lunch meat-all- purpose,249
aluminum foil-all- purpose,237
ice cream-all- purpose,237
soda-all- purpose,226
dinner rolls-all- purpose,230
mixes-all- purpose,233
yogurt-all- purpose,246
soap-all- purpose,241
juice-all- purpose,236
pasta-all- purpose,240
bagels-all- purpose,236
eggs-all- purpose,248
toilet paper-all- purpose,234
cheeses-all- purpose,229
cereals-all- purpose,227
milk-all- purpose,233
coffee/tea-all- purpose,230
waffles-all- purpose,251
dishwashing liquid/detergent-all- purpose,248
poultry-all- purpose,260
vegetables-poultry-all- purpose,187
vegetables-laundry detergent,481
lunch meat-laundry detergent,250
aluminum foil-laundry detergent,241
ice cream-laundry detergent,241
soda-laundry detergent,247
dinner rolls-laundry detergent,250
mixes-laundry detergent,243
yogurt-laundry detergent,235
soap-laundry detergent,234
all- purpose-laundry detergent,218
juice-laundry detergent,239
pasta-laundry detergent,232
bagels-laundry detergent,236
eggs-laundry detergent,247
toilet paper-laundry detergent,235
cheeses-laundry detergent,244
cereals-laundry detergent,246
milk-laundry detergent,244
coffee/tea-laundry detergent,219
waffles-laundry detergent,223
dishwashing liquid/detergent-laundry detergent,251
poultry-laundry detergent,267
vegetables-poultry-laundry detergent,215
vegetables-soap,462
lunch meat-soap,257
aluminum foil-soap,253
ice cream-soap,243
soda-soap,256
dinner rolls-soap,237
mixes-soap,232
yogurt-soap,227
pasta-soap,244
cheeses-soap,251
eggs-soap,248
cereals-soap,245
bagels-soap,233
milk-soap,243
toilet paper-soap,241
coffee/tea-soap,237
juice-soap,242
waffles-soap,240
dishwashing liquid/detergent-soap,248
poultry-soap,270
vegetables-poultry-soap,199
vegetables-pasta,461
lunch meat-pasta,225
aluminum foil-pasta,243
ice cream-pasta,248
soda-pasta,254
dinner rolls-pasta,252
yogurt-pasta,238
juice-pasta,237
cheeses-pasta,252
eggs-pasta,257
cereals-pasta,241
bagels-pasta,236
milk-pasta,230
toilet paper-pasta,238
coffee/tea-pasta,237
mixes-pasta,230
waffles-pasta,243
dishwashing liquid/detergent-pasta,258
poultry-pasta,240
vegetables-poultry-pasta,188
vegetables-yogurt,486
lunch meat-yogurt,243
aluminum foil-yogurt,262
ice cream-yogurt,242
soda-yogurt,248
dinner rolls-yogurt,244
mixes-yogurt,235
cheeses-yogurt,253
eggs-yogurt,253
juice-yogurt,269
cereals-yogurt,249
bagels-yogurt,251
milk-yogurt,245
toilet paper-yogurt,245
coffee/tea-yogurt,236
waffles-yogurt,260
dishwashing liquid/detergent-yogurt,245
poultry-yogurt,269
vegetables-poultry-yogurt,213
vegetables-juice,456
lunch meat-juice,245
aluminum foil-juice,256
ice cream-juice,242
cheeses-juice,223
soda-juice,239
eggs-juice,238
cereals-juice,235
bagels-juice,250
milk-juice,239
dinner rolls-juice,236
coffee/tea-juice,244
mixes-juice,225
toilet paper-juice,261
waffles-juice,239
dishwashing liquid/detergent-juice,237
poultry-juice,262
vegetables-poultry-juice,206
vegetables-mixes,460
lunch meat-mixes,234
aluminum foil-mixes,259
ice cream-mixes,226
soda-mixes,241
dinner rolls-mixes,250
cheeses-mixes,243
eggs-mixes,238
bagels-mixes,248
toilet paper-mixes,231
coffee/tea-mixes,237
milk-mixes,240
cereals-mixes,250
waffles-mixes,237
dishwashing liquid/detergent-mixes,262
poultry-mixes,269
vegetables-poultry-mixes,210
vegetables-coffee/tea,449
lunch meat-coffee/tea,247
aluminum foil-coffee/tea,255
cheeses-coffee/tea,235
ice cream-coffee/tea,250
cereals-coffee/tea,255
eggs-coffee/tea,242
bagels-coffee/tea,238
milk-coffee/tea,241
toilet paper-coffee/tea,240
dinner rolls-coffee/tea,243
soda-coffee/tea,242
waffles-coffee/tea,257
dishwashing liquid/detergent-coffee/tea,240
poultry-coffee/tea,262
vegetables-poultry-coffee/tea,201
vegetables-toilet paper,458
lunch meat-toilet paper,244
aluminum foil-toilet paper,239
ice cream-toilet paper,244
bagels-toilet paper,249
eggs-toilet paper,248
cheeses-toilet paper,259
cereals-toilet paper,236
milk-toilet paper,258
dinner rolls-toilet paper,228
soda-toilet paper,240
waffles-toilet paper,260
dishwashing liquid/detergent-toilet paper,232
poultry-toilet paper,254
vegetables-poultry-toilet paper,195
vegetables-milk,474
lunch meat-milk,239
aluminum foil-milk,254
cheeses-milk,233
cereals-milk,256
bagels-milk,255
eggs-milk,259
dinner rolls-milk,234
ice cream-milk,245
soda-milk,261
waffles-milk,219
dishwashing liquid/detergent-milk,257
poultry-milk,260
vegetables-poultry-milk,205
vegetables-dinner rolls,461
lunch meat-dinner rolls,243
aluminum foil-dinner rolls,250
ice cream-dinner rolls,229
soda-dinner rolls,259
cheeses-dinner rolls,252
eggs-dinner rolls,251
cereals-dinner rolls,248
bagels-dinner rolls,245
waffles-dinner rolls,248
dishwashing liquid/detergent-dinner rolls,250
poultry-dinner rolls,282
vegetables-poultry-dinner rolls,221
vegetables-eggs,499
lunch meat-eggs,228
aluminum foil-eggs,241
ice cream-eggs,240
bagels-eggs,250
cheeses-eggs,256
soda-eggs,268
cereals-eggs,248
waffles-eggs,253
dishwashing liquid/detergent-eggs,253
poultry-eggs,256
vegetables-poultry-eggs,210
vegetables-bagels,472
lunch meat-bagels,239
aluminum foil-bagels,254
ice cream-bagels,240
cheeses-bagels,249
cereals-bagels,243
soda-bagels,241
waffles-bagels,247
dishwashing liquid/detergent-bagels,264
poultry-bagels,249
vegetables-poultry-bagels,188
vegetables-soda,480
lunch meat-soda,244
aluminum foil-soda,252
ice cream-soda,250
cheeses-soda,248
cereals-soda,239
waffles-soda,271
dishwashing liquid/detergent-soda,257
poultry-soda,265
vegetables-poultry-soda,200
vegetables-ice cream,487
lunch meat-ice cream,255
aluminum foil-ice cream,271
cheeses-ice cream,269
waffles-ice cream,255
dishwashing liquid/detergent-ice cream,250
poultry-ice cream,263
vegetables-poultry-ice cream,204
vegetables-cereals,477
lunch meat-cereals,243
aluminum foil-cereals,239
cheeses-cereals,249
waffles-cereals,236
dishwashing liquid/detergent-cereals,253
poultry-cereals,262
vegetables-poultry-cereals,199
vegetables-cheeses,484
lunch meat-cheeses,245
aluminum foil-cheeses,260
waffles-cheeses,251
dishwashing liquid/detergent-cheeses,259
poultry-cheeses,261
vegetables-poultry-cheeses,199
vegetables-aluminum foil,490
lunch meat-aluminum foil,240
waffles-aluminum foil,263
dishwashing liquid/detergent-aluminum foil,250
poultry-aluminum foil,264
vegetables-poultry-aluminum foil,210
vegetables-lunch meat,479
waffles-lunch meat,267
dishwashing liquid/detergent-lunch meat,264
poultry-lunch meat,271
vegetables-poultry-lunch meat,214
vegetables-dishwashing liquid/detergent,491
waffles-dishwashing liquid/detergent,265
poultry-dishwashing liquid/detergent,281
vegetables-poultry-dishwashing liquid/detergent,222
vegetables-waffles,491
poultry-waffles,245
vegetables-poultry-waffles,188
vegetables-poultry,501
yogurt,575
aluminum foil,593
lunch meat,596
pork,548
beef,564
ice cream,591
vegetables,1164
all- purpose,572
soda,589
butter,569
mixes,577
shampoo,550
laundry detergent,572
soap,574
flour,548
sandwich bags,552
dinner rolls,582
cereals,591
toilet paper,579
cheeses,592
dishwashing liquid/detergent,598
hand soap,537
individual meals,571
waffles,599
milk,581
tortillas,566
sandwich loaves,560
eggs,586
poultry,624
ketchup,546
spaghetti sauce,561
bagels,587
juice,576
pasta,574
paper towels,562
coffee/tea,578
fruits,565
sugar,564
